Process Category,Process Name,Variant/Condition,Unit,Min,Target,P80,Confidence,Validated By (Job#),Notes
Cascadia Motion,88-0301-03,H1,Assembly,15.88,20.25,23.82,Estimated,Pending Actuals,Standard Average: 22.04 mins
Cascadia Motion,88-0302-03,H3,Assembly,15.88,20.25,23.82,Estimated,Pending Actuals,Standard Average: 22.04 mins
Cascadia Motion,88-0303-03,H7,Assembly,15.88,20.25,23.82,Estimated,Pending Actuals,Standard Average: 22.04 mins
Cascadia Motion,88-0304-02,H2,Assembly,15.88,20.25,23.82,Estimated,Pending Actuals,Standard Average: 22.04 mins
Cascadia Motion,88-0305-02,H4,Assembly,15.88,20.25,23.82,Estimated,Pending Actuals,Standard Average: 22.04 mins
Cascadia Motion,88-0306-02,H6,Assembly,8.45,10.77,12.67,Estimated,Pending Actuals,Standard Average: 11.72 mins (QMS Flag: Requires Eng Fix)
Cascadia Motion,88-0307-02,H23,Assembly,10.28,13.11,15.42,Estimated,Pending Actuals,Standard Average: 14.27 mins
Cascadia Motion,88-0308-02,H24,Assembly,10.28,13.11,15.42,Estimated,Pending Actuals,Standard Average: 14.27 mins
Cascadia Motion,88-0309-02,H8,Assembly,7.95,10.14,11.93,Estimated,Pending Actuals,Standard Average: 11.04 mins
Cascadia Motion,88-0310-02,H9,Assembly,7.95,10.14,11.93,Estimated,Pending Actuals,Standard Average: 11.04 mins
Cascadia Motion,88-0311-02,H10A,Assembly,11.80,15.05,17.70,Estimated,Pending Actuals,Standard Average: 16.38 mins
Cascadia Motion,88-0314-02,H14,Assembly,16.25,20.72,24.38,Estimated,Pending Actuals,Standard Average: 22.55 mins
Cascadia Motion,88-0318-02,H18,Assembly,10.53,13.42,15.79,Estimated,Pending Actuals,Standard Average: 14.61 mins
Cascadia Motion,88-0319-03,H19,Assembly,15.48,19.74,23.22,Estimated,Pending Actuals,Standard Average: 21.48 mins
Cascadia Motion,88-0320-03,H20,Assembly,17.42,22.22,26.14,Estimated,Pending Actuals,Standard Average: 24.18 mins (QMS Flag: Requires Eng Fix)
Cascadia Motion,88-0321-03,H21,Assembly,22.30,28.44,33.45,Estimated,Pending Actuals,Standard Average: 30.95 mins
Cascadia Motion,88-0322-02,H22,Assembly,9.32,11.88,13.98,Estimated,Pending Actuals,Standard Average: 12.93 mins
Cascadia Motion,88-0329-03,H29,Assembly,8.58,10.94375,12.875,Estimated,Pending Actuals,Standard Average: 11.909375 mins
Cascadia Motion,88-0330-03,H30,Assembly,8.833333333333334,11.2625,13.25,Estimated,Pending Actuals,Standard Average: 12.25625 mins
Cascadia Motion,88-0331-02,H12,Assembly,6.633333333333334,8.4575,9.95,Estimated,Pending Actuals,Standard Average: 9.20375 mins
Cascadia Motion,88-0332-02,H13,Assembly,6.633333333333334,8.4575,9.95,Estimated,Pending Actuals,Standard Average: 9.20375 mins
Cascadia Motion,88-0333-02,H10B,Assembly,9.816666666666666,12.51625,14.725,Estimated,Pending Actuals,Standard Average: 13.620625 mins
Cascadia Motion,88-0334-01,H32,Assembly,4.583333333333333,5.84375,6.875,Estimated,Pending Actuals,Standard Average: 6.359375 mins
Cascadia Motion,88-0340-01,H17A,Assembly,19.266666666666666,24.565,28.9,Estimated,Pending Actuals,Standard Average: 26.7325 mins
Assembly,Apply & Heat Shrink Tube,FIT221-3/64BLK (10mm),3 Pieces,10.0,15.0,20.0,High,TQ460-0047-00DC,Over sensor joints
Assembly,Apply & Recover Heatshrink (Large/Adhesive),TAT-125 3/4" Dual-Wall,1 Piece,30,40,60,High,110-0164,Extended heat time required for adhesive flow
Assembly,Apply & Recover Heatshrink (Small),FIT221-1/8BLK Spaced,1 Piece,8,12,18,Medium,100-4150.02.02-00-45,8pcs spaced 50mm apart
Assembly,Apply & Recover Heatshrink (Small),FIT221-1/8BLK (5mm),1 Piece,8,12,18,Medium,100-4496.02.01-40,Shrink over twist ends
Assembly,Apply & Recover Heatshrink (Small),FIT221-3/16BLK Bundling,1 Piece,8,12,18,Medium,100-4090.04.01-40,High friction feeding 4 twisted wires
Assembly,Apply Loom & Labels,1/2" Loom (>500mm) + Labels,1 Assy,240,284,360,High,Actuals-26pcs-WH200,Routing twisted pairs into loom is time-intensive.
Assembly,Apply cable tie (small) + trim,PLT1MB or similar; position per WI; flush trim,1 Tie,4,6,9,Low,3530855,Used heavily for loom secure/breakouts; WI indicates ~10–12 ties total.
Assembly,Apply tape strip (self-adhesive),2–3 inch strip; press firmly,1 Strip,10,18,30,Low,"AV-400-2.0, AV-LB-B",Includes peel backing + place + rub down; fixture reduces P80.
Assembly,Apply wire marker (shrink),Heat shrink marker; position + shrink,1 Marker,15,25,40,Low,3530803,Includes heat gun cycle time (batching assumed).
Assembly,Coil & Tie Assembly (Heavy),12.2m of 3/0 Cable,1 Assembly,90,120,150,High,110-0164,Physically demanding coiling and securing
Assembly,Full Sub-Assembly Baseline,Deutsch 4c Pigtail (JA1316),1 Assy,255,281,300,High,JOB0006387/JOB0010123,Matches historical 4.7 min average. 4 cuts/4 crimps/1 splice.
Assembly,Full Sub-Assembly Baseline,UPMP Cable Assy (41c Circ Mil),1 Assy,9720,10110,10500,High,JOB0008208/JOB0000990,"Actuals (168.5m) show 65% reduction vs 8.0hr Syteline routing. Includes 41c DMC hand crimping, testing, and C of C."
Assembly,Full Sub-Assembly Baseline,KI-1 4 Output Wire Guide,1 Assy,15360,17814,20268,High,FA00000530/JOB0005179,"Actuals (296.9m) show 38% reduction vs 8.0hr Syteline routing. High manual prep with 155 DIN ferrules and flipped heatshrink labels."
Assembly,Full Sub-Assembly Baseline,6K Head SX18 Source Cable (6581800679),1 Assy,2292,6996,11700,Medium,243410/243701,"Actuals average 116.6m vs 4.0hr routing. Extreme variance between jobs (38m vs 195m). Includes resistor solder, multiple crimps, and 15 labels."
Assembly,Harness Board Routing & Tying,10-Wire Internal Loom,1 Assembly,90,120,150,Medium,0302750,Routing breakout lengths and securing with ties
Assembly,Insert Contact into Housing,KK.100 .100" pitch (5 pos),1 Pin,4,6,8,High,0302751,Molex KK series stuffing
Assembly,Insert Contact into Housing,KK.100 .100" pitch,1 Pin,4,6,8,High,0302750,Molex KK series stuffing
Assembly,Insert Contact into Housing,Datamate + Molex,1 Pin,4,6,8,High,100-4150.02.02-00-25 / 100-4150.02.02-00-45,Stuffing into two different connectors
Assembly,Insert Contact into Housing,1.25mm 8c (51021-0800),1 Pin,4,6,8,High,100-4496.02.01-40,Molex PicoBlade stuffing
Assembly,Insert Contact into Housing,Mini-Mate with Lance check,1 Pin,4,6,8,High,100-4090.04.01-40,Visual check for fully seated lances
Assembly,Insert contact into housing,Samtec SFSD High Density,1 Conn,35,45,60,High,6580801649,Delicate pins require alignment to avoid bending.
Assembly,Insert contact/plug into housing,AT/DT Series + Wedge Lock,1 Cavity,7,10,14,High,Actuals-26pcs-WH200,Adjusted to include wedge lock seating time.
Assembly,Install grommet / strain relief,Push-through or slide-on; tight fit,1 Grommet,10,20,35,Low,AGD176400,Depends heavily on fit tightness; lubrication sometimes needed.
Assembly,Install heat shrink tubing (Large),>1.0" dia; battery cable,1 Piece,30,50,80,Low,AV-BAT-CABLE,Requires more heat dwell time; often thick wall adhesive.
Assembly,Install heat shrink tubing (Small),<0.5" dia; heat gun shrink,1 Piece,15,25,40,Low,3530855,Positioning + shrink time; visual inspection for burning.
Assembly,Install loom (split loom) - Complex,>1m; multiple breakouts/T-junctions,1 Meter,40,70,110,Low,AGD176400,Feeding wires through slit is time consuming.
Assembly,Install loom (split loom) - Short,Up to 1m; no breakouts,1 Assembly,20,35,60,Low,3530803,Simple slide on; tape ends separate step.
Assembly,Install wire seal (Weather/Metri-Pack),Slide silicone seal onto wire before stripping/crimping,1 Seal,5,10,15,Low,CML0344-E1,Estimated based on similar manual prep tasks; validation required on floor.
